Course,"AE 321"
Lab Section Number,"0"
Test Group,"C"
Type of Test,"Tensile - Round"
Crosshead Rate,4.00,mm/min
Start Date,9/16/2015 4:03 PM
End Date,9/16/2015 4:05 PM
Material,"1045"
Heat treatment,"CR"
Other information,""
Geometry,Circular
Diameter,7.18,mm
Area,40.4892,mm^2
Hardness,0.0
Rockwell Scale,HRB
Grip Diameter (Hardness correction),12.50,mm
Gage Length (Extensometer),25.40,mm
Maximum Load,40010,N
Tensile strain at Maximum Load,0.02656,mm/mm
Tensile strain at Maximum Strain 1,0.1138,mm/mm
Load at Maximum Strain 1,18160,N
Fracture Type and Location,""
Final Diameter,5.57,mm
Notes During Test,""

Time,Extension,Load,Strain 1
(sec),(mm),(N),(mm/mm)
87.00,5.80,36810,0.07350
87.50,5.83,36690,0.07489
88.00,5.87,36570,0.07630
88.50,5.90,36440,0.07768
89.00,5.93,36320,0.07910
89.50,5.97,36190,0.08050
90.00,6.00,36070,0.08190
90.50,6.03,35940,0.08332
91.00,6.07,35810,0.08475
91.50,6.10,35670,0.08615
92.00,6.13,35540,0.08757
92.50,6.17,35400,0.08898
93.00,6.20,35260,0.09040
93.50,6.23,35120,0.09183
94.00,6.27,34980,0.09326
94.50,6.30,34840,0.09470
95.00,6.33,34690,0.09614
95.50,6.37,34540,0.09757
96.00,6.40,34380,0.09902
96.50,6.43,34230,0.1005
97.00,6.47,34070,0.1019
97.50,6.50,33910,0.1034
98.00,6.53,33740,0.1048
98.50,6.57,33570,0.1063
99.00,6.60,33400,0.1077
99.50,6.63,33220,0.1092
100.00,6.67,33030,0.1107
100.32,6.69,18160,0.1138
